dataset_a,dataset_b,k,seed,exact_jaccard,estimated_jaccard,absolute_error,execution_time_seconds
article,book,64,0,0.007524402609959131,0.0,0.007524402609959131,211.471
article,book,128,0,0.007524402609959131,0.0078125,0.0002880973900408687,211.471
article,book,256,0,0.007524402609959131,0.00390625,0.0036181526099591313,211.471
article,book,512,0,0.007524402609959131,0.00390625,0.0036181526099591313,211.471
article,incollection,64,0,0.029604754156119694,0.046875,0.017270245843880306,211.471
article,incollection,128,0,0.029604754156119694,0.0390625,0.009457745843880306,211.471
article,incollection,256,0,0.029604754156119694,0.03125,0.001645245843880306,211.471
article,incollection,512,0,0.029604754156119694,0.037109375,0.007504620843880306,211.471
article,inproceedings,64,0,0.3165956683693087,0.421875,0.10527933163069131,211.471
article,inproceedings,128,0,0.3165956683693087,0.328125,0.011529331630691309,211.471
article,inproceedings,256,0,0.3165956683693087,0.28125,0.03534566836930869,211.471
article,inproceedings,512,0,0.3165956683693087,0.29296875,0.02362691836930869,211.471
article,mastersthesis,64,0,7.724183054051107e-06,0.0,7.724183054051107e-06,211.471
article,mastersthesis,128,0,7.724183054051107e-06,0.0,7.724183054051107e-06,211.471
article,mastersthesis,256,0,7.724183054051107e-06,0.0,7.724183054051107e-06,211.471
article,mastersthesis,512,0,7.724183054051107e-06,0.0,7.724183054051107e-06,211.471
article,phdthesis,64,0,0.031967644706291126,0.015625,0.016342644706291126,211.471
article,phdthesis,128,0,0.031967644706291126,0.015625,0.016342644706291126,211.471
article,phdthesis,256,0,0.031967644706291126,0.01953125,0.012436394706291126,211.471
article,phdthesis,512,0,0.031967644706291126,0.02734375,0.004623894706291126,211.471
article,proceedings,64,0,7.269825951279444e-06,0.0,7.269825951279444e-06,211.471
article,proceedings,128,0,7.269825951279444e-06,0.0,7.269825951279444e-06,211.471
article,proceedings,256,0,7.269825951279444e-06,0.0,7.269825951279444e-06,211.471
article,proceedings,512,0,7.269825951279444e-06,0.0,7.269825951279444e-06,211.471
book,incollection,64,0,0.0638893514278578,0.0625,0.0013893514278578017,211.471
book,incollection,128,0,0.0638893514278578,0.0625,0.0013893514278578017,211.471
book,incollection,256,0,0.0638893514278578,0.05078125,0.013108101427857802,211.471
book,incollection,512,0,0.0638893514278578,0.046875,0.017014351427857802,211.471
book,inproceedings,64,0,0.007526317761210805,0.0,0.007526317761210805,211.471
book,inproceedings,128,0,0.007526317761210805,0.0078125,0.0002861822387891953,211.471
book,inproceedings,256,0,0.007526317761210805,0.00390625,0.0036200677612108047,211.471
book,inproceedings,512,0,0.007526317761210805,0.00390625,0.0036200677612108047,211.471
book,mastersthesis,64,0,0.00019207683073229291,0.0,0.00019207683073229291,211.471
book,mastersthesis,128,0,0.00019207683073229291,0.0,0.00019207683073229291,211.471
book,mastersthesis,256,0,0.00019207683073229291,0.0,0.00019207683073229291,211.471
book,mastersthesis,512,0,0.00019207683073229291,0.0,0.00019207683073229291,211.471
book,phdthesis,64,0,0.024247793160758244,0.0,0.024247793160758244,211.471
book,phdthesis,128,0,0.024247793160758244,0.0078125,0.016435293160758244,211.471
book,phdthesis,256,0,0.024247793160758244,0.0078125,0.016435293160758244,211.471
book,phdthesis,512,0,0.024247793160758244,0.01171875,0.012529043160758244,211.471
book,proceedings,64,0,0.00019210450485063874,0.0,0.00019210450485063874,211.471
book,proceedings,128,0,0.00019210450485063874,0.0,0.00019210450485063874,211.471
book,proceedings,256,0,0.00019210450485063874,0.0,0.00019210450485063874,211.471
book,proceedings,512,0,0.00019210450485063874,0.0,0.00019210450485063874,211.471
incollection,inproceedings,64,0,0.03060810417321826,0.03125,0.0006418958267817403,211.471
incollection,inproceedings,128,0,0.03060810417321826,0.0390625,0.00845439582678174,211.471
incollection,inproceedings,256,0,0.03060810417321826,0.03125,0.0006418958267817403,211.471
incollection,inproceedings,512,0,0.03060810417321826,0.029296875,0.0013112291732182597,211.471
incollection,mastersthesis,64,0,7.367929857307758e-05,0.0,7.367929857307758e-05,211.471
incollection,mastersthesis,128,0,7.367929857307758e-05,0.0,7.367929857307758e-05,211.471
incollection,mastersthesis,256,0,7.367929857307758e-05,0.0,7.367929857307758e-05,211.471
incollection,mastersthesis,512,0,7.367929857307758e-05,0.0,7.367929857307758e-05,211.471
incollection,phdthesis,64,0,0.05190155369173656,0.046875,0.00502655369173656,211.471
incollection,phdthesis,128,0,0.05190155369173656,0.03125,0.02065155369173656,211.471
incollection,phdthesis,256,0,0.05190155369173656,0.0390625,0.01283905369173656,211.471
incollection,phdthesis,512,0,0.05190155369173656,0.029296875,0.02260467869173656,211.471
incollection,proceedings,64,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
incollection,proceedings,128,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
incollection,proceedings,256,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
incollection,proceedings,512,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
inproceedings,mastersthesis,64,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,mastersthesis,128,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,mastersthesis,256,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,mastersthesis,512,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,phdthesis,64,0,0.03660544630931325,0.03125,0.0053554463093132484,211.471
inproceedings,phdthesis,128,0,0.03660544630931325,0.0234375,0.013167946309313248,211.471
inproceedings,phdthesis,256,0,0.03660544630931325,0.0234375,0.013167946309313248,211.471
inproceedings,phdthesis,512,0,0.03660544630931325,0.02734375,0.009261696309313248,211.471
inproceedings,proceedings,64,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
inproceedings,proceedings,128,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
inproceedings,proceedings,256,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
inproceedings,proceedings,512,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
mastersthesis,phdthesis,64,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,phdthesis,128,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,phdthesis,256,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,phdthesis,512,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,proceedings,64,0,0.0,0.0,0.0,211.471
mastersthesis,proceedings,128,0,0.0,0.0,0.0,211.471
mastersthesis,proceedings,256,0,0.0,0.0,0.0,211.471
mastersthesis,proceedings,512,0,0.0,0.0,0.0,211.471
phdthesis,proceedings,64,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
phdthesis,proceedings,128,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
phdthesis,proceedings,256,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
phdthesis,proceedings,512,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
